Date,Open,High,Low,Close,Adj Close,Volume
2015-10-16,113.239998,113.440002,111.410004,111.690002,111.690002,23535800
2015-10-23,111.809998,113.250000,109.660004,109.720001,109.720001,23440000
2015-10-30,109.500000,109.580002,105.580002,105.639999,105.639999,32080700
2015-11-06,104.169998,104.650002,103.040001,103.849998,103.849998,27240000
2015-11-13,103.540001,104.089996,101.980003,103.559998,103.559998,24899900
2015-11-20,103.580002,103.660004,102.160004,102.459999,102.459999,16425000
2015-11-27,101.010002,102.430000,100.529999,101.760002,101.760002,33135900
2015-12-04,102.739998,104.209999,102.320000,102.550003,102.550003,28355800
2015-12-11,101.910004,103.320000,100.230003,100.500000,100.500000,37641700
2015-12-18,101.349998,103.519997,101.300003,103.050003,103.050003,23379900
2015-12-25,102.480003,102.599998,101.309998,101.459999,101.459999,13757000
2016-01-01,103.129997,106.239998,102.489998,106.150002,106.150002,30987300
2016-01-08,105.480003,105.800003,102.500000,103.019997,103.019997,36804100
2016-01-15,104.919998,106.160004,103.650002,105.489998,105.489998,30187000
2016-01-22,104.930000,107.930000,104.760002,106.540001,106.540001,33635700
2016-01-29,106.610001,110.699997,106.260002,110.570000,110.570000,54225400
2016-02-05,109.790001,120.839996,109.580002,119.059998,119.059998,123725300
2016-02-12,118.120003,118.739998,114.739998,118.290001,118.290001,55751800
2016-02-19,117.260002,119.860001,115.410004,117.919998,117.919998,65342300
2016-02-26,117.430000,121.300003,115.860001,120.730003,120.730003,65789000
2016-03-04,121.129997,122.370003,118.839996,121.500000,121.500000,63928500
2016-03-11,121.190002,121.389999,117.339996,120.129997,120.129997,62238600
2016-03-18,119.589996,120.339996,116.160004,116.330002,116.330002,53267900
2016-03-25,116.730003,118.809998,116.269997,117.639999,117.639999,38468800
2016-04-01,116.080002,118.849998,115.000000,118.610001,118.610001,46364900
2016-04-08,118.070000,120.349998,116.949997,117.110001,117.110001,50621700
2016-04-15,117.330002,120.550003,117.190002,119.419998,119.419998,59525400
2016-04-22,118.709999,121.419998,117.279999,121.290001,121.290001,47433200
2016-04-29,122.430000,123.959999,121.250000,122.070000,122.070000,58490100
2016-05-06,122.830002,123.809998,120.080002,121.160004,121.160004,45485200
2016-05-13,121.089996,122.970001,118.919998,119.870003,119.870003,51117000
2016-05-20,120.190002,120.320000,116.320000,116.580002,116.580002,48160400
2016-05-27,116.269997,116.400002,115.199997,115.669998,115.669998,29865500
2016-06-03,118.250000,121.480003,118.230003,121.250000,121.250000,52931600
2016-06-10,121.550003,125.669998,121.180000,122.379997,122.379997,79873900
2016-06-17,123.260002,124.099998,120.059998,120.110001,120.110001,60591500
2016-06-24,126.620003,127.050003,125.000000,126.470001,126.470001,101213200
2016-07-01,127.660004,131.149994,127.440002,129.740005,129.740005,67852100
2016-07-08,129.850006,130.520004,126.029999,127.330002,127.330002,74459500
2016-07-15,126.379997,127.500000,125.309998,127.300003,127.300003,48729400
2016-07-22,126.430000,128.199997,125.110001,127.660004,127.660004,54796800
2016-07-29,128.419998,130.550003,127.879997,129.869995,129.869995,38389700
2016-08-05,128.460007,129.199997,127.269997,127.669998,127.669998,46439300
2016-08-12,127.669998,129.259995,127.199997,129.110001,129.110001,50140100
2016-08-19,128.080002,128.669998,125.959999,126.230003,126.230003,47791800
2016-08-26,126.879997,128.110001,124.550003,125.290001,125.290001,59608900
2016-09-02,126.290001,129.080002,125.580002,127.589996,127.589996,45855500
2016-09-09,127.239998,127.510002,124.910004,125.370003,125.370003,51103400
2016-09-16,124.809998,128.199997,124.669998,127.570000,127.570000,58461100
2016-09-23,127.599998,128.039993,125.540001,126.070000,126.070000,33971800
2016-09-30,126.519997,126.550003,119.239998,119.660004,119.660004,77256900
2016-10-07,120.489998,120.580002,118.419998,120.029999,120.029999,40520200
2016-10-14,119.370003,121.589996,119.290001,120.739998,120.739998,28791400
2016-10-21,120.900002,121.760002,120.160004,121.010002,121.010002,26571900
2016-10-28,121.199997,124.760002,120.809998,124.300003,124.300003,58531800
2016-11-04,124.400002,124.540001,119.379997,119.750000,119.750000,68594700
2016-11-11,119.650002,119.690002,115.440002,116.169998,116.169998,66288200
2016-11-18,115.519997,115.940002,112.650002,113.250000,113.250000,44472500
2016-11-25,113.419998,113.839996,110.629997,111.540001,111.540001,39602400
2016-12-02,111.889999,112.500000,110.309998,111.570000,111.570000,34017700
2016-12-09,111.180000,111.250000,107.000000,107.339996,107.339996,51987100
2016-12-16,107.949997,108.879997,107.290001,107.589996,107.589996,33394500
2016-12-23,107.839996,110.529999,107.800003,110.290001,110.290001,21352800
2016-12-30,110.379997,112.940002,109.370003,112.580002,112.580002,30912000
2017-01-06,111.809998,114.930000,111.570000,113.910004,113.910004,37830100
2017-01-13,113.650002,115.959999,113.190002,114.769997,114.769997,29339000
2017-01-20,114.650002,116.169998,112.830002,113.260002,113.260002,36521400
2017-01-27,112.930000,116.570000,112.809998,115.839996,115.839996,38938700
2017-02-03,115.730003,118.589996,115.709999,117.290001,117.290001,44434900
2017-02-10,116.680000,118.349998,116.150002,118.080002,118.080002,36821900
2017-02-17,118.190002,119.160004,116.769997,118.940002,118.940002,27085500
2017-02-24,119.739998,120.400002,117.230003,117.580002,117.580002,47466200
2017-03-03,116.949997,117.730003,114.410004,114.470001,114.470001,36427400
2017-03-10,114.449997,117.290001,114.019997,116.730003,116.730003,41884800
2017-03-17,117.040001,119.250000,116.910004,118.669998,118.669998,31739600
2017-03-24,118.500000,120.080002,118.320000,118.470001,118.470001,34317600
2017-03-31,118.610001,119.769997,118.400002,119.180000,119.180000,32053300
2017-04-07,120.300003,122.650002,118.849998,122.599998,122.599998,48825200
2017-04-14,122.550003,123.070000,121.279999,121.959999,121.959999,39633300
2017-04-21,122.139999,122.610001,119.870003,120.389999,120.389999,55032200
2017-04-28,120.339996,120.769997,116.629997,116.790001,116.790001,46584800
2017-05-05,116.860001,117.139999,115.559998,116.500000,116.500000,29931800
2017-05-12,117.070000,120.019997,116.730003,118.809998,118.809998,39674900
2017-05-19,119.389999,120.190002,118.879997,119.480003,119.480003,31355300
